timestamp,dx,dy,dthetaw,dthetaz,time_imu,ax,ay,az,pressure
1753446919344891714,0.49,-0.05,0.9986295347545738,-0.05233595624294383,1753446919310032817,-0.9,0.11,0.27,13.930000305175781
1753446919374870074,0.49,-0.05,0.9986295347545738,-0.05233595624294383,1753446919339926492,-0.92,0.04,0.3,13.930000305175781
1753446919405032159,0.5,-0.05,0.9996573249755573,-0.02617694830787315,1753446919369925009,-0.93,0.11,0.4,13.930000305175781
1753446919434998853,0.5,-0.05,0.9998476951563913,-0.01745240643728351,1753446919424996678,-0.93,0.06,0.28,13.930000305175781
1753446919464826279,0.5,-0.05,0.9998476951563913,-0.01745240643728351,1753446919429903452,-0.93,0.06,0.28,13.930000305175781
1753446919494841043,0.51,-0.05,0.9993908270190958,-0.03489949670250097,1753446919459955194,-0.99,0.11,0.32,13.930000305175781
1753446919525169853,0.51,-0.05,0.9993908270190958,-0.03489949670250097,1753446919514821522,-0.92,0.15,0.42,13.930000305175781
1753446919555028226,0.53,-0.05,0.9975640502598242,-0.0697564737441253,1753446919544883501,-0.93,0.1,0.47,13.930000305175781
1753446919585030854,0.54,-0.06,0.9945218953682733,-0.10452846326765346,1753446919550006018,-0.93,0.1,0.47,13.930000305175781
1753446919614737651,0.54,-0.06,0.9945218953682733,-0.10452846326765346,1753446919580105708,-0.93,0.12,0.05,13.930000305175781
1753446919644861790,0.54,-0.06,0.9935718556765875,-0.11320321376790672,1753446919634954998,-0.99,0.17,0.27,13.930000305175781
1753446919674881668,0.54,-0.06,0.9935718556765875,-0.11320321376790672,1753446919639947740,-0.99,0.17,0.27,13.930000305175781
1753446919704859587,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919694832782,-0.95,0.14,0.26,13.930000305175781
1753446919734861269,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919724952767,-0.94,0.08,0.44,13.930000305175781
1753446919764955518,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919729886211,-0.94,0.08,0.44,13.930000305175781
1753446919794865936,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919785061546,-0.94,0.13,0.28,13.930000305175781
1753446919824871772,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919815011582,-0.89,0.09,0.17,13.930000305175781
1753446919855061196,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919844956219,-0.97,0.13,0.39,13.930000305175781
1753446919884901970,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919850029194,-0.97,0.13,0.39,13.930000305175781
1753446919914821968,0.55,-0.06,0.992546151641322,-0.12186934340514748,1753446919905210160,-0.86,0.12,0.28,13.930000305175781
1753446919945067018,0.55,-0.06,0.9935718556765875,-0.11320321376790672,1753446919910302479,-0.86,0.12,0.28,13.930000305175781
1753446919974998494,0.55,-0.06,0.9935718556765875,-0.11320321376790672,1753446919940149218,-0.93,0.1,0.43,13.930000305175781
1753446920005146628,0.56,-0.06,0.9935718556765875,-0.11320321376790672,1753446919970991093,-0.94,0.07,0.36,13.930000305175781
1753446920035033062,0.56,-0.06,0.9945218953682733,-0.10452846326765346,1753446920000053479,-0.92,0.1,0.42,13.930000305175781
1753446920065387317,0.56,-0.06,0.9945218953682733,-0.10452846326765346,1753446920030577153,-0.93,0.08,0.38,13.930000305175781
1753446920095081207,0.57,-0.06,0.9953961983671789,-0.09584575252022398,1753446920084878554,-0.94,0.12,0.28,13.930000305175781
1753446920124965066,0.57,-0.06,0.9953961983671789,-0.09584575252022398,1753446920114857633,-0.93,0.09,0.31,13.930000305175781
1753446920155888341,0.57,-0.06,0.996917333733128,-0.07845909572784494,1753446920145126977,-0.92,0.12,0.31,13.930000305175781
1753446920184990027,0.58,-0.06,0.9981347984218669,-0.06104853953485687,1753446920174960963,-0.93,0.1,0.31,13.930000305175781
1753446920215120118,0.58,-0.06,0.9981347984218669,-0.06104853953485687,1753446920205009278,-0.94,0.1,0.35,13.930000305175781
1753446920244855523,0.58,-0.06,0.9990482215818578,-0.043619387365336,1753446920234916321,-0.97,0.09,0.4,13.930000305175781
1753446920280548120,0.59,-0.06,0.9993908270190958,-0.03489949670250097,1753446920264846967,-0.93,0.1,0.25,13.930000305175781
1753446920305047364,0.59,-0.06,0.9993908270190958,-0.03489949670250097,1753446920295211301,-0.96,0.07,0.37,13.930000305175781
1753446920334967742,0.59,-0.06,0.9996573249755573,-0.02617694830787315,1753446920327604066,-0.95,0.1,0.34,13.930000305175781
1753446920364837512,0.59,-0.06,0.9996573249755573,-0.02617694830787315,1753446920329944852,-0.95,0.1,0.34,13.930000305175781
1753446920395209121,0.6,-0.06,0.9996573249755573,-0.02617694830787315,1753446920360145347,-0.93,0.11,0.3,13.930000305175781
1753446920424905063,0.6,-0.06,0.9996573249755573,-0.02617694830787315,1753446920390200304,-0.96,0.1,0.38,13.930000305175781
1753446920455000142,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920444943977,-0.96,0.08,0.32,13.930000305175781
1753446920484966753,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920450117304,-0.96,0.08,0.32,13.930000305175781
1753446920515060086,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920479929129,-0.99,0.1,0.38,13.930000305175781
1753446920545058554,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920510155032,-0.94,0.15,0.41,13.930000305175781
1753446920574995530,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920539972860,-0.89,0.15,0.25,13.930000305175781
1753446920604987774,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920569913733,-1.0,0.1,0.44,13.930000305175781
1753446920635021393,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920625035466,-0.93,0.12,0.34,13.930000305175781
1753446920665032812,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920630222106,-0.93,0.12,0.34,13.930000305175781
1753446920694846430,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920660098419,-0.93,0.05,0.3,13.930000305175781
1753446920724916380,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920714980858,-0.97,0.07,0.32,13.930000305175781
1753446920754913361,0.6,-0.07,0.9993908270190958,-0.03489949670250097,1753446920744955640,-0.94,0.04,0.21,13.930000305175781
1753446920784858285,0.6,-0.06,0.9993908270190958,-0.03489949670250097,1753446920750038293,-0.94,0.04,0.21,13.930000305175781
1753446920814953191,0.6,-0.06,0.9993908270190958,-0.03489949670250097,1753446920779895429,-0.95,0.03,0.26,13.930000305175781
1753446920845014421,0.59,-0.06,0.9990482215818578,-0.043619387365336,1753446920835115594,-0.96,0.02,0.31,13.930000305175781
1753446920874907595,0.59,-0.06,0.9990482215818578,-0.043619387365336,1753446920839855727,-0.96,0.02,0.31,13.920000076293945
1753446920904895352,0.58,-0.06,0.9986295347545738,-0.05233595624294383,1753446920869862596,-0.95,-0.03,0.27,13.920000076293945
1753446920935003007,0.58,-0.06,0.9981347984218669,-0.06104853953485687,1753446920924896580,-0.93,0.02,0.31,13.920000076293945
1753446920964992080,0.58,-0.06,0.9981347984218669,-0.06104853953485687,1753446920954895683,-0.94,-0.01,0.33,13.920000076293945
1753446920995012168,0.57,-0.06,0.9975640502598242,-0.0697564737441253,1753446920960022960,-0.94,-0.01,0.33,13.930000305175781
1753446921024960975,0.57,-0.06,0.9975640502598242,-0.0697564737441253,1753446921014841417,-0.94,-0.03,0.27,13.930000305175781
1753446921054958760,0.57,-0.06,0.9961946980917455,-0.08715574274765817,1753446921019941414,-0.94,-0.03,0.27,13.930000305175781
1753446921084883956,0.57,-0.06,0.9953961983671789,-0.09584575252022398,1753446921074848059,-0.94,0.0,0.36,13.930000305175781
1753446921114914118,0.57,-0.06,0.9953961983671789,-0.09584575252022398,1753446921080128974,-0.94,0.0,0.36,13.930000305175781
1753446921144937296,0.56,-0.06,0.9935718556765875,-0.11320321376790672,1753446921134880263,-0.95,0.01,0.34,13.930000305175781
1753446921175334474,0.56,-0.06,0.9935718556765875,-0.11320321376790672,1753446921164884641,-0.93,0.04,0.32,13.930000305175781
1753446921204836100,0.56,-0.06,0.992546151641322,-0.12186934340514748,1753446921195280491,-0.94,0.05,0.35,13.930000305175781
1753446921234878871,0.55,-0.06,0.9914448613738104,-0.13052619222005157,1753446921225036430,-0.95,0.06,0.34,13.930000305175781
1753446921264917080,0.55,-0.06,0.9914448613738104,-0.13052619222005157,1753446921230012960,-0.95,0.06,0.34,13.930000305175781
1753446921294870418,0.55,-0.06,0.9914448613738104,-0.13052619222005157,1753446921260072341,-0.94,0.04,0.33,13.930000305175781
1753446921324919239,0.55,-0.06,0.9914448613738104,-0.13052619222005157,1753446921289839189,-0.95,0.04,0.34,13.930000305175781
1753446921355451813,0.55,-0.06,0.9902680687415704,-0.13917310096006544,1753446921345085465,-0.94,0.03,0.34,13.930000305175781
1753446921384794763,0.54,-0.06,0.9914448613738104,-0.13052619222005157,1753446921350051334,-0.94,0.03,0.34,13.930000305175781
1753446921415144324,0.54,-0.06,0.9914448613738104,-0.13052619222005157,1753446921380228903,-0.94,0.02,0.34,13.930000305175781
1753446921445043258,0.53,-0.05,0.9935718556765875,-0.11320321376790672,1753446921410057295,-0.93,-0.02,0.33,13.930000305175781
1753446921474931131,0.53,-0.05,0.9935718556765875,-0.11320321376790672,1753446921439988389,-0.91,-0.05,0.35,13.930000305175781
1753446921505048753,0.52,-0.05,0.9981347984218669,-0.06104853953485687,1753446921494875538,-0.93,-0.05,0.3,13.930000305175781
1753446921534891866,0.5,-0.05,0.9993908270190958,-0.03489949670250097,1753446921500029867,-0.93,-0.05,0.3,13.930000305175781
1753446921564872749,0.5,-0.05,0.9993908270190958,-0.03489949670250097,1753446921529957536,-0.93,-0.05,0.31,13.930000305175781
1753446921594881999,0.49,-0.05,0.9986295347545738,-0.05233595624294383,1753446921559847072,-0.93,0.0,0.28,13.930000305175781
1753446921624881508,0.49,-0.05,0.9986295347545738,-0.05233595624294383,1753446921589983392,-0.98,0.02,0.36,13.930000305175781
1753446921654872287,0.48,-0.05,0.9961946980917455,-0.08715574274765817,1753446921644831712,-0.98,0.06,0.45,13.930000305175781
1753446921684811412,0.47,-0.04,0.992546151641322,-0.12186934340514748,1753446921650022462,-0.98,0.06,0.45,13.930000305175781
1753446921715063229,0.47,-0.04,0.992546151641322,-0.12186934340514748,1753446921680307223,-0.96,0.04,0.39,13.930000305175781
1753446921744947757,0.46,-0.04,0.9890158633619168,-0.14780941112961063,1753446921734920445,-0.93,0.02,0.32,13.930000305175781
1753446921775056963,0.46,-0.04,0.9890158633619168,-0.14780941112961063,1753446921764982164,-0.93,0.02,0.28,13.930000305175781
1753446921805078375,0.46,-0.04,0.9876883405951378,-0.15643446504023087,1753446921795043983,-0.95,0.04,0.34,13.930000305175781
1753446921835280635,0.45,-0.04,0.9862856015372314,-0.16504760586067763,1753446921799907941,-0.95,0.04,0.34,13.930000305175781
1753446921865212911,0.45,-0.04,0.9862856015372314,-0.16504760586067763,1753446921830123914,-0.95,0.04,0.38,13.930000305175781
1753446921895055584,0.45,-0.04,0.9876883405951378,-0.15643446504023087,1753446921884848504,-0.93,0.02,0.4,13.930000305175781
1753446921925551792,0.45,-0.04,0.9876883405951378,-0.15643446504023087,1753446921914929620,-0.96,0.04,0.28,13.930000305175781
1753446921955081801,0.43,-0.03,0.9935718556765875,-0.11320321376790672,1753446921944983241,-0.95,0.02,0.3,13.930000305175781
1753446921991724936,0.41,-0.03,0.996917333733128,-0.07845909572784494,1753446921950128201,-0.95,0.02,0.3,13.930000305175781
1753446922014954284,0.41,-0.03,0.996917333733128,-0.07845909572784494,1753446922005044341,-1.01,0.01,0.38,13.930000305175781
1753446922044947910,0.4,-0.03,0.9961946980917455,-0.08715574274765817,1753446922034936357,-0.84,-0.05,0.38,13.930000305175781
1753446922074806606,0.4,-0.03,0.9961946980917455,-0.08715574274765817,1753446922039837426,-0.84,-0.05,0.38,13.930000305175781
1753446922104828255,0.39,-0.02,0.9935718556765875,-0.11320321376790672,1753446922095127267,-1.01,0.03,0.48,13.930000305175781
1753446922134847877,0.38,-0.02,0.9902680687415704,-0.13917310096006544,1753446922099845265,-1.01,0.03,0.48,13.930000305175781
1753446922164806814,0.38,-0.02,0.9902680687415704,-0.13917310096006544,1753446922155087258,-0.94,0.12,0.04,13.930000305175781
1753446922194960060,0.37,-0.02,0.9862856015372314,-0.16504760586067763,1753446922184923354,-1.05,0.03,0.46,13.930000305175781
1753446922224880148,0.37,-0.02,0.9862856015372314,-0.16504760586067763,1753446922190251831,-1.05,0.03,0.46,13.930000305175781
1753446922255167905,0.37,-0.02,0.984807753012208,-0.17364817766693033,1753446922220471776,-0.9,0.03,0.48,13.930000305175781
1753446922285629362,0.37,-0.02,0.984807753012208,-0.17364817766693033,1753446922250037232,-0.97,0.11,0.23,13.930000305175781
1753446922314957933,0.36,-0.02,0.984807753012208,-0.17364817766693033,1753446922281539173,-0.91,0.04,0.41,13.930000305175781
1753446922344941626,0.36,-0.01,0.984807753012208,-0.17364817766693033,1753446922335472036,-0.95,0.04,0.16,13.930000305175781
1753446922374965700,0.36,-0.01,0.984807753012208,-0.17364817766693033,1753446922364976065,-0.95,0.02,0.52,13.930000305175781
1753446922405128998,0.34,-0.01,0.9902680687415704,-0.13917310096006544,1753446922370343089,-0.95,0.02,0.52,13.930000305175781
1753446922435704998,0.33,0.0,0.9961946980917455,-0.08715574274765817,1753446922400103737,-0.98,0.02,0.52,13.930000305175781
1753446922464961622,0.33,0.0,0.9961946980917455,-0.08715574274765817,1753446922455219316,-0.96,0.01,0.34,13.930000305175781
1753446922495732874,0.31,0.0,0.9953961983671789,-0.09584575252022398,1753446922485234613,-0.9,0.0,0.27,13.920000076293945
1753446922526420463,0.31,0.0,0.9953961983671789,-0.09584575252022398,1753446922490432627,-0.9,0.0,0.27,13.920000076293945
1753446922555654503,0.3,0.0,0.992546151641322,-0.12186934340514748,1753446922545212816,-0.95,0.08,0.24,13.920000076293945
1753446922585148500,0.29,0.0,0.9876883405951378,-0.15643446504023087,1753446922550238034,-0.95,0.08,0.24,13.930000305175781
1753446922615275099,0.29,0.0,0.9876883405951378,-0.15643446504023087,1753446922605323253,-0.95,0.04,0.26,13.930000305175781
1753446922645066461,0.28,0.0,0.981627183447664,-0.1908089953765448,1753446922610172253,-0.95,0.04,0.26,13.930000305175781
1753446922675038453,0.28,0.0,0.981627183447664,-0.1908089953765448,1753446922664938795,-0.83,0.04,0.31,13.930000305175781
1753446922704951555,0.28,0.0,0.9799247046208296,-0.19936793441719716,1753446922695124170,-0.99,0.04,0.3,13.930000305175781
1753446922734953890,0.27,0.0,0.9781476007338057,-0.20791169081775931,1753446922725313208,-0.95,0.05,0.13,13.930000305175781
1753446922765006141,0.27,0.0,0.9781476007338057,-0.20791169081775931,1753446922755316445,-0.93,0.01,0.23,13.930000305175781
1753446922794869843,0.27,0.0,0.9799247046208296,-0.19936793441719716,1753446922759891308,-0.93,0.01,0.23,13.930000305175781
1753446922824896026,0.27,0.0,0.9799247046208296,-0.19936793441719716,1753446922814874099,-0.92,-0.03,0.41,13.930000305175781
1753446922854966364,0.26,0.01,0.984807753012208,-0.17364817766693033,1753446922820151291,-0.92,-0.03,0.41,13.930000305175781
1753446922885116533,0.24,0.01,0.9914448613738104,-0.13052619222005157,1753446922850112006,-1.0,0.0,0.33,13.930000305175781
1753446922915084599,0.24,0.01,0.9914448613738104,-0.13052619222005157,1753446922905131364,-1.0,-0.02,0.36,13.930000305175781
1753446922945427559,0.22,0.02,0.9914448613738104,-0.13052619222005157,1753446922910000740,-1.0,-0.02,0.36,13.930000305175781
1753446922974945813,0.22,0.02,0.9914448613738104,-0.13052619222005157,1753446922964992091,-0.97,-0.04,0.46,13.930000305175781
1753446923005426111,0.21,0.02,0.9876883405951378,-0.15643446504023087,1753446922970166073,-0.97,-0.04,0.46,13.930000305175781
1753446923034867430,0.2,0.03,0.981627183447664,-0.1908089953765448,1753446923024977057,-0.99,0.02,0.3,13.930000305175781
1753446923064972173,0.2,0.03,0.981627183447664,-0.1908089953765448,1753446923054933112,-1.0,0.02,0.4,13.930000305175781
1753446923095163623,0.19,0.03,0.9781476007338057,-0.20791169081775931,1753446923084912154,-0.87,0.05,0.09,13.930000305175781
1753446923125043768,0.19,0.03,0.9781476007338057,-0.20791169081775931,1753446923090398020,-0.87,0.05,0.09,13.930000305175781
1753446923155461802,0.19,0.03,0.9762960071199334,-0.21643961393810288,1753446923144925751,-0.98,0.07,0.38,13.930000305175781
1753446923185930793,0.18,0.03,0.9762960071199334,-0.21643961393810288,1753446923150194317,-0.98,0.07,0.38,13.930000305175781
1753446923215141483,0.18,0.03,0.9762960071199334,-0.21643961393810288,1753446923180548373,-0.93,0.07,0.4,13.930000305175781
1753446923245191553,0.18,0.03,0.9781476007338057,-0.20791169081775931,1753446923235486304,-0.91,0.06,0.55,13.930000305175781
